state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,,,
,,Skagit,1,0,0,0,,,,
,,Snohomish,1,1,0,0,,,,
,,Spokane,1,0,1,0,,,,
,,Stevens2,0,1,0,1,,,,
,,Thurston,0,1,1,0,,,,
,,Walla Walla,0,0,0,1,,,,
,,Whatcom,0,2,3,3,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Garfield,0,0,0,1,,,,
,,Grays Harbor,1,0,0,0,,,,
,,San Juan,1,0,0,0,,,,
,,Whitman,0,0,1,0,,,,
,Other Agencies,,,,,,,,,
,,Port of Seattle,0,2,0,2,,,,
West Virginia,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Charleston,0,1,2,2,"50,693",,,
,,Chester,0,0,1,0,"2,542",,,
,,Fairmont,1,0,0,1,"18,835",,,
,,Hinton,0,1,0,,"2,566",,,
,,Moundsville,0,1,0,0,"8,846",,,
,,Weirton,0,0,1,0,"19,476",,,
,,Winfield,2,1,0,0,"2,331",,,
,Universities and Colleges,,,,,,,,,
,,West Virginia State University,0,1,1,0,"2,677",,,
,,West Virginia University,1,0,0,0,"29,466",,,
,Metropolitan Counties,,,,,,,,,
,,Brooke,0,0,0,1,,,,
,,Fayette,0,0,1,0,,,,
,,Hancock,0,0,0,1,,,,
,,Kanawha,0,0,0,3,,,,
,,Marshall,0,1,0,0,,,,
,,Ohio,0,0,1,0,,,,
,,Raleigh,0,1,0,0,,,,
Wisconsin,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Appleton,0,1,1,1,"73,841",,,
,,Fond du Lac,0,1,0,0,"42,953",,,
,,Janesville,0,0,0,2,"63,885",,,
,,La Crosse,1,1,0,1,"51,564",,,
,,Madison,1,2,3,4,"245,788",,,
,,Milwaukee,2,4,1,4,"600,374",,,
,,Oak Creek,0,0,1,0,"35,138",,,
,,River Falls,0,0,1,0,"15,250",,,
,,Stevens Point,0,0,1,0,"26,665",,,
,,Waupun,1,0,1,0,"11,326",,,
,Universities and Colleges,,,,,,,,,
,,University of Wisconsin:,,,,,,,,
,,Eau Claire,0,0,0,2,"10,923",,,
,,Milwaukee,0,0,0,1,"27,416",,,
,,Stout,0,0,0,1,"9,313",,,
,Metropolitan Counties,,,,,,,,,
,,Columbia,0,0,0,1,,,,
,,Fond du Lac,0,0,1,1,,,,
,,Iowa,0,0,1,0,,,,
,,Washington,0,1,0,0,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Burnett,0,1,1,0,,,,
,,Juneau,0,0,1,0,,,,
,,Sauk,0,1,0,0,,,,
,,Sawyer,0,0,1,1,,,,
,,Vilas,0,1,0,0,,,,
