Year,State,AgencyType,Agency Name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population1
,,,Morrilton,0,0,0,0,6808
,,,Mountain Home,0,0,0,0,12240
,,,Mountain View,0,0,0,0,2890
,,,Mulberry,0,0,0,0,1623
,,,Murfreesboro,0,0,0,0,1629
,,,Nashville,0,0,0,0,4562
,,,Newport,0,0,0,0,7729
,,,Norfolk,0,0,0,0,502
,,,North Little Rock,0,0,0,0,67031
,,,Ola,0,0,0,0,1256
,,,Osceola,0,0,0,0,7332
,,,Ozark,0,0,0,0,3662
,,,Pangburn,0,0,0,0,598
,,,Paragould,0,0,0,0,27301
,,,Paris,0,0,0,0,3488
,,,Parkin,0,0,0,0,1073
,,,Pea Ridge,0,0,0,0,5079
,,,Perryville,0,0,0,0,1453
,,,Piggott,0,0,0,0,3691
,,,Pine Bluff,0,0,0,0,45402
,,,Plummerville,0,0,0,0,815
,,,Pocahontas,0,0,0,0,6514
,,,Pottsville,0,0,0,0,3074
,,,Prairie Grove,0,0,0,0,4889
,,,Prescott,0,0,0,0,3209
,,,Quitman,0,0,0,0,753
,,,Ravenden,0,0,0,,451
,,,Redfield,0,0,0,0,1495
,,,Rison,0,0,0,0,1322
,,,Rose Bud,0,0,0,0,485
,,,Russellville,0,0,0,0,28620
,,,Salem,0,0,0,0,1652
,,,Shannon Hills,0,0,0,0,3573
,,,Sheridan,0,0,0,0,4861
,,,Sherwood,0,0,0,0,30159
,,,Siloam Springs,0,0,0,0,16047
,,,Stamps,0,0,0,0,1590
,,,Star City,0,0,0,0,2243
,,,St. Charles,0,0,0,0,221
,,,Stuttgart,0,0,0,0,9219
,,,Swifton,0,0,0,0,776
,,,Texarkana,0,0,0,0,30027
,,,Trumann,0,0,0,0,7122
,,,Tuckerman,0,0,0,0,1801
,,,Tyronza,0,0,,0,754
,,,Van Buren,0,0,0,0,23117
,,,Vilonia,0,0,0,0,4326
,,,Waldron,0,0,0,0,3510
,,,Walnut Ridge,0,0,0,0,4735
,,,Ward,0,0,0,0,4545
,,,Warren,0,0,0,0,5855
,,,Weiner,0,0,0,0,695
,,,West Fork,0,0,0,0,2503
,,,West Memphis,0,0,0,0,25370
,,,White Hall,0,0,0,0,5254
,,,Wynne,0,0,0,0,8279
,,Universities and Colleges,Arkansas State University: ,,,,,
,,,Beebe,0,0,0,0,4380
,,,Jonesboro,0,0,0,0,13552
,,,Arkansas Tech University,0,0,0,0,11369
,,,Henderson State University,0,0,0,0,3583
,,,Southern Arkansas University,0,0,0,0,3404
,,,Southern Arkansas University Tech,0,0,0,0,1730
,,,University of Arkansas: ,,,,,
,,,Little Rock,0,0,0,0,12377
,,,Medical Sciences,0,0,0,0,2867
,,,Monticello,0,0,0,0,3893
,,,Pine Bluff,0,,,,2615
,,,University of Central Arkansas,0,0,0,0,11534
,,Metropolitan Counties,Benton,0,0,0,0,
,,,Cleveland,0,0,0,0,
,,,Craighead,0,0,0,0,
,,,Crawford,0,0,0,0,
,,,Crittenden,0,0,0,0,
,,,Faulkner,0,0,0,0,
,,,Garland,0,0,0,0,
,,,Grant,0,0,0,0,
,,,Jefferson,0,0,0,0,
,,,Lincoln,0,0,0,0,
,,,Little River,0,0,0,0,
,,,Lonoke,0,0,0,0,
,,,Madison,0,0,0,0,
,,,Miller,0,0,0,0,
,,,Perry,0,0,0,0,
,,,Poinsett,0,0,0,0,
,,,Saline,0,0,0,0,
,,,Sebastian,0,0,0,0,
,,,Washington,0,0,0,0,
,,Nonmetropolitan Counties,Arkansas,0,0,0,0,
,,,Ashley,0,0,0,0,
,,,Boone,0,0,0,0,
,,,Bradley,0,0,0,0,
,,,Calhoun,0,0,0,0,
,,,Carroll,0,0,0,0,
,,,Chicot,0,0,0,0,
,,,Clark,0,0,0,0,
,,,Clay,0,,,,
,,,Cleburne,0,0,0,0,
,,,Columbia,0,0,0,0,
,,,Conway,0,0,0,0,
,,,Cross,0,0,0,0,
,,,Dallas,0,0,0,0,
,,,Drew,0,0,0,0,
,,,Franklin,0,0,0,0,
,,,Fulton,0,0,0,0,
,,,Greene,0,0,0,0,
,,,Hempstead,0,0,0,0,
,,,Howard,0,0,0,0,
,,,Independence,0,0,0,0,
,,,Izard,0,0,0,0,
,,,Jackson,0,0,0,0,
,,,Johnson,0,0,0,0,
,,,Lafayette,0,0,0,0,
,,,Lawrence,0,0,0,0,
,,,Lee,0,0,0,0,
,,,Marion,0,0,0,0,
,,,Mississippi,0,0,0,0,
,,,Monroe,0,0,0,0,
,,,Montgomery,0,0,0,0,
,,,Nevada,0,0,0,0,
,,,Newton,0,0,0,0,
,,,Pike,0,0,0,0,
,,,Polk,0,0,0,0,
,,,Pope,0,0,0,0,
,,,Prairie,0,0,0,0,
,,,Randolph,0,0,0,0,
,,,Scott,0,0,0,0,
,,,Searcy,0,0,0,0,
,,,Sevier,0,0,0,0,
,,,St. Francis,0,0,0,0,
,,,Stone,0,0,0,0,
,,,Union,0,0,0,0,
,,,Van Buren,0,0,0,0,
,,,White,0,0,0,0,
,,,Woodruff,0,0,0,0,
,,,Yell,0,0,0,0,
,,Other Agencies,Camp Robinson,0,0,0,0,
,,,State Capitol Police,0,0,0,0,
,California,Cities,Agoura Hills,0,0,0,0,20767
,,,Albany,0,0,0,0,19350
,,,Aliso Viejo,0,0,0,0,50671
,,,Alturas,0,0,0,0,2615
,,,American Canyon ,0,0,0,0,20379
,,,Anaheim,0,0,0,0,346956
,,,Anderson,0,0,0,0,10176
,,,Arcadia,0,0,0,0,57950
,,,Arroyo Grande,0,0,0,0,17829
,,,Artesia,0,0,0,0,16788
,,,Atascadero,0,0,0,0,29268
,,,Atherton,0,0,0,0,7221
,,,Atwater,0,0,0,0,28961
,,,Auburn,0,0,0,0,14042
,,,Avalon,0,0,0,0,3784
,,,Avenal,0,0,0,0,13914
,,,Baldwin Park,0,0,0,0,76933
,,,Banning,0,0,0,0,30699
,,,Bear Valley,0,0,0,0,5379
,,,Beaumont,0,0,0,0,41323
,,,Bell,0,0,0,0,36059
,,,Bellflower,0,0,0,0,77830
,,,Bell Gardens,0,0,0,0,43089
,,,Belmont,0,0,0,0,26947
,,,Belvedere,0,0,0,0,2135
,,,Benicia,0,0,0,0,27766
,,,Big Bear Lake,0,0,0,0,5148
,,,Biggs,0,0,0,0,1701
,,,Bishop,0,0,0,0,3860
,,,Blythe,0,0,0,0,19669
,,,Bradbury,0,0,0,0,1084
,,,Brawley,0,0,0,0,25695
,,,Brisbane,0,0,0,0,4482
,,,Broadmoor,0,0,0,0,4343
,,,Burlingame,0,0,0,0,30161
,,,Calabasas,0,0,0,0,24325
,,,Calexico,0,0,0,0,39572
,,,California City,0,0,0,0,13168
,,,Calimesa,0,0,0,0,8238
,,,Calipatria,0,0,0,0,6963
,,,Calistoga,0,0,0,0,5277
,,,Campbell,0,0,0,0,40872
,,,Canyon Lake,0,0,0,0,10987
,,,Capitola,0,0,0,0,10134
,,,Carlsbad,0,0,0,0,112297
,,,Carmel,0,0,0,0,3871
,,,Carpinteria,0,0,0,0,13654
,,,Cathedral City,0,0,0,0,53368
,,,Ceres,0,0,0,0,46903
,,,Chowchilla,0,0,0,0,17079
,,,Citrus Heights,0,0,0,0,85758
,,,Clayton,0,0,0,0,11646
,,,Cloverdale,0,0,0,0,8766
,,,Clovis,0,0,0,0,100705
,,,Coachella,0,0,0,0,43633
,,,Colma,0,0,0,0,1503
,,,Colton,0,0,0,0,53485
,,,Commerce,0,0,0,0,13033
,,,Concord,0,0,0,0,126744
,,,Corcoran,0,0,0,0,23057
,,,Corning,0,0,0,0,7569
,,,Corona,0,0,0,0,161128
,,,Coronado,0,0,0,0,23385
,,,Costa Mesa,0,0,0,0,112709
,,,Cotati,0,0,0,0,7424
,,,Covina,0,0,0,0,48681
,,,Crescent City,0,0,0,0,7090
,,,Cudahy,0,0,0,0,24175
,,,Culver City,0,0,0,0,39561
,,,Cypress,0,0,0,0,49370
,,,Danville,0,0,0,0,43685
,,,Delano,0,0,0,0,52224
,,,Del Mar,0,0,0,0,4305
,,,Del Rey Oaks,0,0,0,0,1683
,,,Desert Hot Springs,0,0,0,0,28086
,,,Diamond Bar,0,0,0,0,56665
,,,Dinuba,0,0,0,0,23815
,,,Dixon,0,0,0,0,19103
,,,Dorris,0,0,0,0,899
,,,Dos Palos,0,0,0,0,5081
,,,Downey,0,0,0,0,113595
,,,Duarte,0,0,0,0,21817
,,,Dunsmuir,0,0,0,0,1569
,,,East Palo Alto,0,0,0,0,29377
,,,Eastvale,0,0,0,0,55504
,,,El Cajon,0,0,0,0,102838
,,,El Centro,0,0,0,0,43532
,,,Elk Grove,0,0,0,0,162957
,,,El Segundo,0,0,0,0,16990
,,,Emeryville,0,0,0,0,10972
,,,Encinitas,0,0,0,0,62071
,,,Escalon,0,0,0,0,7281
,,,Etna,0,0,0,0,715
,,,Exeter,0,0,0,0,10524
,,,Fairfax,0,0,0,0,7647
,,,Farmersville,0,0,0,0,10752
,,,Ferndale,0,0,0,0,1360
,,,Fillmore,0,0,0,0,15311
,,,Firebaugh,0,0,0,0,8238
,,,Folsom,0,0,0,0,73329
,,,Fort Jones,0,0,0,0,681
,,,Fortuna,0,0,0,0,11752
,,,Foster City,0,0,0,0,32836
,,,Fountain Valley,0,0,0,0,57024
,,,Fowler,0,0,0,0,6032
,,,Glendora,0,0,0,0,51292
,,,Gonzales,0,0,0,0,8459
,,,Grand Terrace,0,0,0,0,12405
,,,Greenfield,0,0,0,0,16986
,,,Gridley,0,0,0,0,6558
,,,Guadalupe,0,0,0,0,7260
,,,Gustine,0,0,0,0,5667
,,,Hanford,0,0,0,0,54824
,,,Hawthorne,0,0,0,0,86670
,,,Hermosa Beach,0,0,0,0,19873
,,,Hidden Hills,0,0,0,0,1915
,,,Hillsborough,0,0,0,0,11382
,,,Hollister,0,0,0,0,36967
,,,Holtville,0,0,0,0,6030
,,,Hughson,0,0,0,0,7089
,,,Huntington Park,0,0,0,0,59064
,,,Huron,0,0,0,0,6792
,,,Imperial,0,0,0,0,16535
,,,Indian Wells,0,0,0,0,5211
,,,Indio,0,0,0,0,84540
,,,Industry,0,0,0,0,205
,,,Irwindale,0,0,0,0,1426
,,,Isleton,0,0,0,0,825
,,,Jackson,0,0,0,0,4534
,,,Jurupa Valley,0,0,0,0,98684
,,,Kensington,0,0,0,0,5281
,,,Kerman,0,0,0,0,14538
,,,King City,0,0,0,0,13336
,,,Kingsburg,0,0,0,0,11762
,,,La Canada Flintridge,0,0,0,0,20627
,,,Lafayette,0,0,0,0,25355
,,,Laguna Beach,0,0,0,0,23371
,,,Laguna Hills,0,0,0,0,31035
,,,Laguna Woods,0,0,0,0,16480
,,,La Habra,0,0,0,0,61964
,,,La Habra Heights,0,0,0,0,5451
,,,Lake Elsinore,0,0,0,0,58665
,,,Lakeport,0,0,0,0,4763
,,,Lake Shastina,0,0,0,0,2506
,,,Lakewood,0,0,0,0,81382
,,,La Mesa,0,0,0,0,59005
,,,La Mirada,0,0,0,0,49277
,,,La Palma,0,0,0,0,15977
,,,La Verne,0,0,0,0,32067
,,,Lawndale,0,0,0,0,33340
,,,Lemon Grove,0,0,0,0,26332
,,,Lemoore,0,0,0,0,25080
,,,Lincoln,0,0,0,0,45792
,,,Lindsay,0,0,0,0,13300
,,,Livingston,0,0,0,0,13690
,,,Lodi,0,0,0,0,63601
,,,Loma Linda,0,0,0,0,23798
,,,Lompoc,0,0,0,0,43809
,,,Los Alamitos,0,0,0,0,11708
,,,Los Altos,0,0,0,0,30256
,,,Los Altos Hills,0,0,0,0,8408
,,,Los Banos,0,0,0,0,37011
,,,Madera,0,0,0,0,63495
,,,Manhattan Beach,0,0,0,0,35872
,,,Martinez,0,0,0,0,37416
,,,Marysville,0,0,0,0,12242
,,,Maywood,0,0,0,0,27833
,,,McFarland,0,0,0,0,12346
,,,Mendota,0,0,0,0,11480
,,,Menlo Park,0,0,0,0,33321
,,,Mill Valley,0,0,0,0,14411
,,,Milpitas,0,0,0,0,70568
,,,Mission Viejo,0,0,0,0,97124
,,,Montague,0,0,0,0,1398
,,,Montebello,0,0,0,0,63737
,,,Monte Sereno,0,0,0,0,3511
,,,Moraga,0,0,0,0,16953
,,,Morgan Hill,0,0,0,0,41585
,,,Morro Bay,0,0,0,0,10516
,,,Mountain View,0,0,0,0,78759
,,,Mount Shasta,0,0,0,0,3267
,,,Napa,0,0,0,0,79572
,,,Needles,0,0,0,0,4944
,,,Nevada City,0,0,0,0,3055
,,,Newman,0,0,0,0,10742
,,,Novato,0,0,0,0,54756
,,,Oakdale,0,0,0,0,21651
,,,Oakley,0,0,0,0,38851
,,,Ojai,0,0,0,0,7607
,,,Ontario,0,0,0,0,168278
,,,Orange Cove,0,0,0,0,9704
,,,Orinda,0,0,0,0,18904
,,,Orland,0,0,0,0,7511
,,,Oroville,0,0,0,0,16090
,,,Pacifica,0,0,0,0,38925
,,,Pacific Grove,0,0,0,0,15612
,,,Palm Desert,0,0,0,0,50971
,,,Palos Verdes Estates,0,0,0,0,13668
,,,Paradise,0,0,0,0,26306
,,,Parlier,0,0,0,0,14948
,,,Patterson,0,0,0,0,20977
,,,Perris,0,0,0,0,73223
,,,Petaluma,0,0,0,0,59803
,,,Pinole,0,0,0,0,19034
,,,Pismo Beach,0,0,0,0,7910
,,,Placerville,0,0,0,0,10486
,,,Pleasant Hill,0,0,0,0,34363
,,,Pleasanton,0,0,0,0,75060
,,,Porterville,0,0,0,0,55391
,,,Port Hueneme,0,0,0,0,22247
,,,Rancho Cordova,0,0,0,0,68636
,,,Rancho Mirage,0,0,0,0,17926
,,,Rancho Palos Verdes,0,0,0,0,42645
,,,Rancho Santa Margarita,0,0,0,0,49558
,,,Redwood City,0,0,0,0,81870
,,,Reedley,0,0,0,0,25186
,,,Rialto,0,0,0,0,102540
,,,Richmond,0,0,0,0,108464
,,,Ridgecrest,0,0,0,0,28830
,,,Rio Dell,0,0,0,0,3358
,,,Rio Vista,0,0,0,0,7825
,,,Riverbank,0,0,0,0,23690
,,,Rocklin,0,0,0,0,60371
,,,Rohnert Park,0,0,0,0,41535
,,,Rolling Hills,0,0,0,0,1896
,,,Rolling Hills Estates,0,0,0,0,8233
,,,Rosemead,0,0,0,0,54748
,,,Ross,0,0,0,0,2476
,,,San Bruno,0,0,0,0,42787
,,,Sand City,0,0,0,0,343
,,,San Fernando,0,0,0,0,24362
,,,San Gabriel,0,0,0,0,40409
,,,Sanger,0,0,0,0,24771
,,,San Jacinto,0,0,0,0,46216
,,,San Juan Capistrano,0,0,0,0,36124
,,,San Marino,0,0,0,0,13371
,,,San Pablo,0,0,0,0,29831
,,,Santa Barbara,0,0,0,0,90889
,,,Santa Clara,0,0,0,0,121114
,,,Santa Fe Springs,0,0,0,0,17254
,,,Santa Maria,0,0,0,0,102885
,,,Santa Paula,0,0,0,0,30269
,,,Santa Rosa,0,0,0,0,172991
,,,Saratoga,0,0,0,0,31122
,,,Sausalito,0,0,0,0,7137
,,,Scotts Valley,0,0,0,0,11795
,,,Seal Beach,0,0,0,0,24727
,,,Seaside,0,0,0,0,34350
,,,Sebastopol,0,0,0,0,7646
,,,Selma,0,0,0,0,24404
,,,Shafter,0,0,0,0,17235
,,,Signal Hill,0,0,0,0,11411
,,,Solana Beach,0,0,0,0,13321
,,,Soledad,0,0,0,0,25807
,,,Solvang,0,0,0,0,5418
,,,Sonoma,0,0,0,0,10950
,,,South El Monte,0,0,0,0,20465
,,,South Lake Tahoe,0,0,0,0,21379
,,,South Pasadena,0,0,0,0,26041
,,,South San Francisco,0,0,0,0,66793
,,,Stallion Springs,0,0,0,0,2587
,,,Stanton,0,0,0,0,38791
,,,St. Helena,0,0,0,0,5978
,,,Suisun City,0,0,0,0,28986
,,,Susanville,0,0,0,0,15048
,,,Sutter Creek,0,0,0,0,2438
,,,Temecula,0,0,0,0,108308
,,,Thousand Oaks,0,0,0,0,129175
,,,Tiburon,0,0,0,0,9232
,,,Truckee,0,0,0,0,16161
,,,Tulare,0,0,0,0,61596
,,,Tulelake,0,0,0,0,988
,,,Tustin,0,0,0,0,79046
,,,Upland,0,0,0,0,75790
,,,Vallejo,0,0,0,0,119504
,,,Vernon,0,0,0,0,115
,,,Villa Park,0,0,0,0,5982
,,,Walnut,0,0,0,0,30282
,,,Watsonville,0,0,0,0,52778
,,,Weed,0,0,0,0,2894
,,,Westlake Village,0,0,0,0,8452
,,,Westminster,0,0,0,0,92217
,,,Westmorland,0,0,0,0,2264
,,,West Sacramento,0,0,0,0,50152
,,,Wheatland,0,0,0,0,3521
,,,Whittier,0,0,0,0,86952
,,,Wildomar,0,0,0,0,33921
,,,Williams,0,0,0,0,5188
,,,Willits,0,0,0,0,4814
,,,Willows,0,0,0,0,6089
,,,Winters,0,0,0,0,6962
,,,Woodlake,0,0,0,0,7700
,,,Woodland,0,0,0,0,56854
,,,Yountville,0,0,0,0,2978
,,,Yreka,0,0,0,0,7558
,,Universities and Colleges,Allan Hancock College,0,0,0,0,10885
,,,"California State Polytechnic University, Pomona",0,0,0,0,22501
,,,California State University: ,,,,,
,,,Bakersfield,0,0,0,0,8371
,,,Channel Islands,0,0,0,0,5140
,,,Chico,0,0,0,0,16356
,,,Dominguez Hills,0,0,0,0,14670
,,,Fresno,0,0,0,0,23060
,,,Fullerton,0,0,0,0,38325
,,,Long Beach,0,0,0,0,35586
,,,Los Angeles,0,0,0,0,23258
,,,Monterey Bay,0,0,0,0,5732
,,,Northridge,0,0,0,0,38310
,,,Sacramento,0,0,0,0,28811
,,,San Bernardino,0,0,0,0,18398
,,,San Marcos,0,0,0,0,11300
,,,Stanislaus,0,0,0,0,8917
,,,College of the Sequoias,0,0,0,0,10720
,,,Contra Costa Community College,0,0,0,0,35676
,,,Cuesta College,0,0,0,0,9256
,,,El Camino College,0,0,0,0,23996
,,,Foothill-De Anza College,0,0,0,0,38075
,,,Humboldt State University,0,0,0,0,8293
,,,Marin Community College,0,0,0,0,6077
,,,Pasadena Community College,0,0,0,0,25268
,,,San Bernardino Community College,0,0,0,0,18026
,,,San Diego State University,0,0,0,0,31899
,,,San Francisco State University,0,0,0,0,29905
,,,San Jose/Evergreen Community College ,0,0,0,0,18657
,,,Santa Rosa Junior College,0,0,0,0,22094
,,,Solano Community College,0,0,0,0,9583
,,,Sonoma State University,0,0,0,0,9120
,,,State Center Community College District,0,0,0,0,35151
,,,University of California: ,,,,,
,,,Hastings College of Law,0,0,0,0,1088
,,,Irvine,0,0,0,0,28895
,,,Los Angeles,0,0,0,0,40795
,,,"Medical Center, Sacramento3",0,0,0,0,
,,,Merced,0,0,0,0,6195
,,,Riverside,0,0,0,0,21207
,,,San Francisco,0,0,0,0,3079
,,,Santa Barbara,0,0,0,0,22225
,,,Santa Cruz,0,0,0,0,17203
,,,Ventura County Community College District,0,0,0,0,34053
,,,West Valley-Mission College,0,0,0,0,18766
,,Metropolitan Counties,Alameda,0,0,0,0,
,,,Butte,0,0,0,0,
,,,Contra Costa,0,0,0,0,
,,,El Dorado,0,0,0,0,
,,,Kern,0,0,0,0,
,,,Kings,0,0,0,0,
,,,Madera,0,0,0,0,
,,,Monterey,0,0,0,0,
,,,Napa,0,0,0,0,
,,,Placer,0,0,0,0,
,,,San Benito,0,0,0,0,
,,,San Francisco,0,0,0,0,
,,,San Joaquin,0,0,0,0,
,,,San Luis Obispo,0,0,0,0,
,,,Solano,0,0,0,0,
,,,Sutter,0,0,0,0,
,,,Tulare,0,0,0,0,
,,Nonmetropolitan Counties,Alpine,0,0,0,0,
,,,Colusa,0,0,0,0,
,,,Del Norte,0,0,0,0,
,,,Inyo,0,0,0,0,
,,,Lake,0,0,0,0,
,,,Lassen,0,0,0,0,
,,,Mariposa,0,0,0,0,
,,,Mendocino,0,0,0,0,
,,,Modoc,0,0,0,0,
,,,Mono,0,0,0,0,
,,,Nevada,0,0,0,0,
,,,Plumas,0,0,0,0,
,,,Sierra,0,0,0,0,
,,,Siskiyou,0,0,0,0,
,,,Tehama,0,0,0,0,
,,,Trinity,0,0,0,0,
,,State Police Agencies,Highway Patrol: ,,,,,
,,,Alameda County,0,0,0,0,
,,,Alpine County,0,0,0,0,
,,,Amador County,0,0,0,0,
,,,Butte County,0,0,0,0,
,,,Calaveras County,0,0,0,0,
,,,Colusa County,0,0,0,0,
,,,Contra Costa County,0,0,0,0,
,,,Del Norte County,0,0,0,0,
,,,El Dorado County,0,0,0,0,
,,,Fresno County,0,0,0,0,
,,,Glenn County,0,0,0,0,
,,,Humboldt County,0,0,0,0,
,,,Imperial County,0,0,0,0,
,,,Inyo County,0,0,0,0,
,,,Kern County,0,0,0,0,
,,,Kings County,0,0,0,0,
,,,Lake County,0,0,0,0,
,,,Lassen County,0,0,0,0,
,,,Los Angeles County,0,0,0,0,
,,,Madera County,0,0,0,0,
,,,Marin County,0,0,0,0,
,,,Mariposa County,0,0,0,0,
,,,Mendocino County,0,0,0,0,
,,,Merced County,0,0,0,0,
,,,Modoc County,0,0,0,0,
,,,Mono County,0,0,0,0,
,,,Monterey County,0,0,0,0,
,,,Napa County,0,0,0,0,
,,,Nevada County,0,0,0,0,
,,,Orange County,0,0,0,0,
,,,Placer County,0,0,0,0,
,,,Plumas County,0,0,0,0,
,,,Riverside County,0,0,0,0,
,,,Sacramento County,0,0,0,0,
,,,San Benito County,0,0,0,0,
,,,San Bernardino County,0,0,0,0,
,,,San Francisco County,0,0,0,0,
,,,San Joaquin County,0,0,0,0,
,,,San Luis Obispo County,0,0,0,0,
,,,San Mateo County,0,0,0,0,
,,,Santa Barbara County,0,0,0,0,
,,,Santa Clara County,0,0,0,0,
,,,Santa Cruz County,0,0,0,0,
,,,Shasta County,0,0,0,0,
,,,Sierra County,0,0,0,0,
,,,Siskiyou County,0,0,0,0,
,,,Solano County,0,0,0,0,
,,,Sonoma County,0,0,0,0,
,,,Stanislaus County,0,0,0,0,
,,,Sutter County,0,0,0,0,
,,,Tehama County,0,0,0,0,
,,,Trinity County,0,0,0,0,
,,,Tulare County,0,0,0,0,
,,,Tuolumne County,0,0,0,0,
,,,Ventura County,0,0,0,0,
,,,Yolo County,0,0,0,0,
,,,Yuba County,0,0,0,0,
,,Tribal Agencies,Coyote Valley Tribal,0,0,0,0,
,,,Hoopa Valley Tribal,0,0,0,0,
,,,Hopland Tribal,0,,,,
,,,La Jolla Tribal,0,0,0,0,
,,,Los Coyotes Tribal,0,0,0,0,
,,,Sycuan Tribal,0,0,0,0,
,,,Table Mountain Rancheria,0,0,0,0,
,,,Tule River Tribal,0,0,0,0,
,,,Yurok Tribal,0,0,0,0,
,,Other Agencies,Atascadero State Hospital,0,0,0,0,
,,,California State Fair,0,0,0,0,
,,,Coalinga State Hospital,0,0,0,0,
,,,Department of Parks and Recreation: ,,,,,
,,,Angeles,0,0,0,0,
,,,Bay Area,0,0,0,0,
,,,Calaveras County,0,0,0,0,
,,,Capital,0,0,0,0,
,,,Channel Coast,0,0,0,0,
,,,Colorado,0,0,0,0,
,,,Four Rivers District,0,0,0,0,
,,,Gold Fields District,0,0,0,0,
,,,Hollister Hills,0,0,0,0,
,,,Hungry Valley,0,0,0,0,
,,,Inland Empire,0,0,0,0,
,,,Marin County,0,0,0,0,
,,,Mendocino Headquarters,0,0,0,0,
,,,Monterey County,0,0,0,0,
,,,Northern Buttes,0,0,0,0,
,,,North Coast Redwoods,0,0,0,0,
,,,Oceano Dunes,0,0,0,0,
,,,Ocotillo Wells,0,0,0,0,
,,,Orange Coast,0,0,0,0,
,,,Russian River,0,0,0,0,
,,,San Joaquin,0,0,0,0,
,,,San Luis Obispo Coast,0,0,0,0,
,,,Santa Cruz Mountains,0,0,0,0,
,,,Sierra,0,0,0,0,
,,,Silverado,0,0,0,0,
,,,Tehachapi District,0,0,0,0,
,,,Twin Cities,0,0,0,0,
,,,East Bay Municipal Utility,0,0,0,0,
,,,East Bay Regional Parks:,,,,,
,,,Alameda County,0,0,0,0,
,,,Contra Costa County,0,0,0,0,
,,,Fairview Developmental Center,0,0,0,0,
,,,Fontana Unified School District,0,0,0,0,
,,,Lanterman State Hospital,0,0,0,0,
,,,Monterey Peninsula Airport,0,0,0,0,
,,,Napa State Hospital,0,0,0,0,
,,,Patton State Hospital,0,0,0,0,
,,,Porterville Developmental Center,0,0,0,0,
,,,San Bernardino Unified School District,0,0,0,0,
,,,"San Francisco Bay Area Rapid Transit, San Mateo County",0,0,0,0,
,,,Santa Clara Transit District,0,0,0,0,
,,,Shasta County Marshal,0,0,0,0,
,,,Sonoma Developmental Center,0,0,0,0,
,,,Stockton Unified School District,0,0,0,0,
,,,Twin Rivers Unified School District,0,0,0,0,
,,,Union Pacific Railroad: ,,,,,
,,,Alameda County,0,0,0,0,
,,,Amador County,0,0,0,0,
,,,Butte County,0,0,0,0,
,,,Calaveras County,0,0,0,0,
,,,Colusa County,0,0,0,0,
,,,Contra Costa County,0,0,0,0,
,,,El Dorado County,0,0,0,0,
,,,Fresno County,0,0,0,0,
,,,Glenn County,0,0,0,0,
,,,Humboldt County,0,0,0,0,
,,,Imperial County,0,0,0,0,
,,,Inyo County,0,0,0,0,
,,,Kern County,0,0,0,0,
,,,Kings County,0,0,0,0,
,,,Lassen County,0,0,0,0,
,,,Los Angeles County,0,0,0,0,
,,,Madera County,0,0,0,0,
,,,Marin County,0,0,0,0,
,,,Mendocino County,0,0,0,0,
,,,Merced County,0,0,0,0,
,,,Modoc County,0,0,0,0,
,,,Monterey County,0,0,0,0,
,,,Napa County,0,0,0,0,
,,,Nevada County,0,0,0,0,
,,,Orange County,0,0,0,0,
,,,Placer County,0,0,0,0,
,,,Plumas County,0,0,0,0,
,,,Riverside County,0,0,0,0,
,,,Sacramento County,0,0,0,0,
,,,San Benito County,0,0,0,0,
,,,San Bernardino County,0,0,0,0,
,,,San Francisco County,0,0,0,0,
,,,San Joaquin County,0,0,0,0,
,,,San Luis Obispo County,0,0,0,0,
,,,San Mateo County,0,0,0,0,
,,,Santa Barbara County,0,0,0,0,
,,,Santa Clara County,0,0,0,0,
,,,Santa Cruz County,0,0,0,0,
,,,Shasta County,0,0,0,0,
,,,Sierra County,0,0,0,0,
,,,Siskiyou County,0,0,0,0,
,,,Solano County,0,0,0,0,
,,,Sonoma County,0,0,0,0,
,,,Stanislaus County,0,0,0,0,
,,,Sutter County,0,0,0,0,
,,,Tehama County,0,0,0,0,
,,,Trinity County,0,0,0,0,
,,,Tulare County,0,0,0,0,
,,,Ventura County,0,0,0,0,
,,,Yolo County,0,0,0,0,
,,,Yuba County,0,0,0,0,
,Colorado,Cities,Aspen,0,0,0,0,6744
,,,Ault,0,0,0,0,1587
,,,Avon,0,0,0,0,6419
,,,Basalt,0,0,0,0,3859
,,,Black Hawk,0,0,0,0,122
,,,Blue River,0,0,0,0,872
,,,Boulder,0,0,0,0,104284
,,,Bow Mar,0,0,0,0,915
,,,Breckenridge,0,0,0,0,4677
,,,Broomfield,0,0,0,0,60693
,,,Brush,0,0,0,0,5509
,,,Buena Vista,0,0,0,0,2767
,,,Burlington,0,0,0,0,3946
,,,Calhan,0,0,0,0,796
,,,Campo,0,0,0,0,107
,,,Carbondale,0,0,0,0,6594
,,,Center,0,0,0,0,2221
,,,Central City,0,0,0,0,689
,,,Cherry Hills Village,0,0,0,0,6393
,,,Collbran,0,,,0,700
,,,Columbine Valley,0,0,0,0,1334
,,,Cortez,0,0,0,0,8588
,,,Craig,0,0,0,0,8864
,,,Crested Butte,0,0,0,0,1529
,,,Cripple Creek,0,0,0,0,1163
,,,Dacono,0,0,0,0,4425
,,,De Beque,0,0,0,0,496
,,,Del Norte,0,0,0,0,1646
,,,Delta,0,0,0,0,8860
,,,Dillon,0,0,0,0,923
,,,Eagle,0,0,0,0,6527
